id_no2,latitud_no2,longitud_no2,id_trafico,distance_m,latitud_trafico,longitud_trafico
28079056,40.3850336,-3.7187679,10848,53.4,40.384802190623,-3.71821572817584
28079056,40.3850336,-3.7187679,5090,87.0,40.384330623572,-3.71921936982991
28079056,40.3850336,-3.7187679,6822,92.1,40.384662039115,-3.71779613025652
28079056,40.3850336,-3.7187679,10580,92.3,40.3851876756656,-3.71983876166255
28079056,40.3850336,-3.7187679,10614,92.7,40.3858306457201,-3.71908857969092
28079056,40.3850336,-3.7187679,10250,95.3,40.3852010204591,-3.71987111234953
28079056,40.3850336,-3.7187679,6823,98.7,40.3846645982479,-3.71770869572132
28079056,40.3850336,-3.7187679,10332,108.2,40.3845570709114,-3.71765377606282
28079056,40.3850336,-3.7187679,5091,115.9,40.3842600078514,-3.71968446301129
28079056,40.3850336,-3.7187679,10982,118.3,40.3842627481373,-3.71973112926151
28079056,40.3850336,-3.7187679,10615,119.2,40.3858143970867,-3.71973235383172
28079056,40.3850336,-3.7187679,10849,147.7,40.3858188361418,-3.71736090674855
28079056,40.3850336,-3.7187679,11006,163.0,40.3859311946582,-3.71724694217
28079056,40.3850336,-3.7187679,10613,164.0,40.3864117502325,-3.71945781841679
28079056,40.3850336,-3.7187679,5084,170.1,40.3836334379485,-3.71795959865334
